step,elapsed,x_laser,G,cooling_rate,R,Tmax
6480,6481.00,126.62,1.4041e-02,1.7742e-04,1.2636e-02,1.2437
6500,6501.00,127.02,1.4052e-02,1.7726e-04,1.2615e-02,1.2433
6520,6521.00,127.42,1.4179e-02,1.7809e-04,1.2560e-02,1.2428
6540,6541.00,127.82,1.4229e-02,1.7699e-04,1.2439e-02,1.2424
6560,6561.00,128.22,1.4256e-02,1.7488e-04,1.2267e-02,1.2419
6580,6581.00,128.62,1.4323e-02,1.7426e-04,1.2166e-02,1.2415
6600,6601.00,129.02,1.4364e-02,1.7317e-04,1.2056e-02,1.2409
6620,6621.00,129.42,1.4387e-02,1.7153e-04,1.1922e-02,1.2404
6640,6641.00,129.82,1.4392e-02,1.7056e-04,1.1852e-02,1.2397
6660,6661.00,130.22,1.4490e-02,1.7093e-04,1.1796e-02,1.2389
6680,6681.00,130.62,1.4562e-02,1.7023e-04,1.1690e-02,1.2381
6700,6701.00,131.02,1.4616e-02,1.6944e-04,1.1593e-02,1.2371
6720,6721.00,131.42,1.4646e-02,1.6934e-04,1.1562e-02,1.2363
6740,6741.00,131.82,1.4706e-02,1.6971e-04,1.1540e-02,1.2353
6760,6761.00,132.22,1.4681e-02,1.6790e-04,1.1437e-02,1.2342
6780,6781.00,132.62,1.4702e-02,1.6616e-04,1.1302e-02,1.2332
6800,6801.00,133.02,1.4693e-02,1.6499e-04,1.1229e-02,1.2319
6820,6821.00,133.42,1.4745e-02,1.6278e-04,1.1039e-02,1.2308
6840,6841.00,133.82,1.4831e-02,1.6266e-04,1.0967e-02,1.2296
6860,6861.00,134.22,1.4873e-02,1.6206e-04,1.0896e-02,1.2282
6880,6881.00,134.62,1.5026e-02,1.6039e-04,1.0674e-02,1.2270
6900,6901.00,135.02,1.5057e-02,1.5966e-04,1.0604e-02,1.2256
6920,6921.00,135.42,1.5033e-02,1.6011e-04,1.0650e-02,1.2241
6940,6941.00,135.82,1.5069e-02,1.6060e-04,1.0658e-02,1.2226
6960,6961.00,136.22,1.5068e-02,1.5969e-04,1.0598e-02,1.2210
6980,6981.00,136.62,1.5081e-02,1.5835e-04,1.0501e-02,1.2193
7000,7001.00,137.02,1.5100e-02,1.5808e-04,1.0469e-02,1.2176
7020,7021.00,137.42,1.5089e-02,1.5865e-04,1.0514e-02,1.2157
7040,7041.00,137.82,1.5127e-02,1.5878e-04,1.0496e-02,1.2137
7060,7061.00,138.22,1.5165e-02,1.5987e-04,1.0542e-02,1.2116
7080,7081.00,138.62,1.5152e-02,1.5903e-04,1.0496e-02,1.2095
7100,7101.00,139.02,1.5125e-02,1.5766e-04,1.0424e-02,1.2073
7120,7121.00,139.42,1.5102e-02,1.5600e-04,1.0330e-02,1.2049
7140,7141.00,139.82,1.5101e-02,1.5516e-04,1.0275e-02,1.2026
7160,7161.00,140.22,1.5069e-02,1.5574e-04,1.0335e-02,1.2001
7180,7181.00,140.62,1.5053e-02,1.5772e-04,1.0477e-02,1.1973
7200,7201.00,141.02,1.5021e-02,1.6015e-04,1.0662e-02,1.1944
7220,7221.00,141.42,1.4965e-02,1.6359e-04,1.0931e-02,1.1916
7240,7241.00,141.82,1.4978e-02,1.6491e-04,1.1010e-02,1.1886
7260,7261.00,142.22,1.4888e-02,1.6622e-04,1.1164e-02,1.1855
7280,7281.00,142.62,1.4915e-02,1.6725e-04,1.1214e-02,1.1823
7300,7301.00,143.02,1.4870e-02,1.6952e-04,1.1400e-02,1.1791
7320,7321.00,143.42,1.4840e-02,1.7251e-04,1.1625e-02,1.1758
7340,7341.00,143.82,1.4770e-02,1.7497e-04,1.1846e-02,1.1724
7360,7361.00,144.22,1.4699e-02,1.7898e-04,1.2176e-02,1.1689
7380,7381.00,144.62,1.4634e-02,1.8227e-04,1.2456e-02,1.1652
7400,7401.00,145.02,1.4539e-02,1.8574e-04,1.2776e-02,1.1615
7420,7421.00,145.42,1.4416e-02,1.8796e-04,1.3038e-02,1.1578
7440,7441.00,145.82,1.4324e-02,1.9084e-04,1.3323e-02,1.1539
7460,7461.00,146.22,1.4204e-02,1.9279e-04,1.3573e-02,1.1499
7480,7481.00,146.62,1.4125e-02,1.9452e-04,1.3771e-02,1.1457
7500,7501.00,147.02,1.3992e-02,1.9653e-04,1.4046e-02,1.1416
7520,7521.00,147.42,1.3912e-02,1.9883e-04,1.4292e-02,1.1374
7540,7541.00,147.82,1.3776e-02,2.0277e-04,1.4718e-02,1.1331
7560,7561.00,148.22,1.3694e-02,2.0593e-04,1.5038e-02,1.1287
7580,7581.00,148.62,1.3550e-02,2.0822e-04,1.5366e-02,1.1242
7600,7601.00,149.02,1.3396e-02,2.1108e-04,1.5757e-02,1.1196
7620,7621.00,149.42,1.3227e-02,2.1492e-04,1.6249e-02,1.1149
7640,7641.00,149.82,1.3064e-02,2.1878e-04,1.6748e-02,1.1103
