step,elapsed,x_laser,G,cooling_rate,R,Tmax
25240,25241.00,57.71,1.5715e-02,1.9822e-05,1.2613e-03,1.2278
25260,25261.00,57.76,1.5715e-02,1.9785e-05,1.2590e-03,1.2276
25280,25281.00,57.80,1.5711e-02,1.9738e-05,1.2563e-03,1.2273
25300,25301.00,57.85,1.5714e-02,1.9670e-05,1.2518e-03,1.2271
25320,25321.00,57.89,1.5725e-02,1.9586e-05,1.2455e-03,1.2268
25340,25341.00,57.94,1.5712e-02,1.9564e-05,1.2451e-03,1.2266
25360,25361.00,57.99,1.5713e-02,1.9493e-05,1.2406e-03,1.2263
25380,25381.00,58.03,1.5709e-02,1.9435e-05,1.2371e-03,1.2261
25400,25401.00,58.08,1.5732e-02,1.9383e-05,1.2321e-03,1.2259
25420,25421.00,58.12,1.5718e-02,1.9360e-05,1.2317e-03,1.2256
25440,25441.00,58.17,1.5711e-02,1.9345e-05,1.2313e-03,1.2254
25460,25461.00,58.22,1.5720e-02,1.9327e-05,1.2295e-03,1.2252
25480,25481.00,58.26,1.5720e-02,1.9409e-05,1.2347e-03,1.2249
25500,25501.00,58.31,1.5712e-02,1.9488e-05,1.2403e-03,1.2247
25520,25521.00,58.35,1.5717e-02,1.9359e-05,1.2317e-03,1.2245
25540,25541.00,58.40,1.5708e-02,1.8912e-05,1.2039e-03,1.2242
25560,25561.00,58.45,1.5701e-02,1.8487e-05,1.1774e-03,1.2240
25580,25581.00,58.49,1.5696e-02,1.8296e-05,1.1656e-03,1.2237
25600,25601.00,58.54,1.5710e-02,1.8339e-05,1.1674e-03,1.2234
25620,25621.00,58.58,1.5701e-02,1.8484e-05,1.1773e-03,1.2232
25640,25641.00,58.63,1.5693e-02,1.8735e-05,1.1938e-03,1.2229
25660,25661.00,58.68,1.5684e-02,1.9127e-05,1.2195e-03,1.2227
25680,25681.00,58.72,1.5684e-02,1.9555e-05,1.2468e-03,1.2224
25700,25701.00,58.77,1.5668e-02,1.9743e-05,1.2601e-03,1.2221
25720,25721.00,58.81,1.5676e-02,1.9164e-05,1.2225e-03,1.2219
25740,25741.00,58.86,1.5668e-02,1.8527e-05,1.1825e-03,1.2216
25760,25761.00,58.91,1.5658e-02,1.8307e-05,1.1692e-03,1.2213
25780,25781.00,58.95,1.5670e-02,1.8418e-05,1.1753e-03,1.2210
25800,25801.00,59.00,1.5669e-02,1.8577e-05,1.1856e-03,1.2208
25820,25821.00,59.04,1.5696e-02,1.8668e-05,1.1894e-03,1.2205
25840,25841.00,59.09,1.5708e-02,1.8775e-05,1.1953e-03,1.2202
25860,25861.00,59.14,1.5714e-02,1.8885e-05,1.2018e-03,1.2200
25880,25881.00,59.18,1.5716e-02,1.8948e-05,1.2056e-03,1.2197
25900,25901.00,59.23,1.5718e-02,1.9010e-05,1.2094e-03,1.2194
25920,25921.00,59.27,1.5730e-02,1.9097e-05,1.2140e-03,1.2192
25940,25941.00,59.32,1.5740e-02,1.9106e-05,1.2139e-03,1.2189
25960,25961.00,59.37,1.5730e-02,1.9119e-05,1.2155e-03,1.2186
25980,25981.00,59.41,1.5712e-02,1.9253e-05,1.2254e-03,1.2184
26000,26001.00,59.46,1.5704e-02,1.9405e-05,1.2357e-03,1.2181
26020,26021.00,59.50,1.5708e-02,1.9990e-05,1.2726e-03,1.2179
26040,26041.00,59.55,1.5714e-02,2.0017e-05,1.2738e-03,1.2176
26060,26061.00,59.60,1.5727e-02,1.9577e-05,1.2448e-03,1.2174
26080,26081.00,59.64,1.5718e-02,1.9412e-05,1.2350e-03,1.2171
26100,26101.00,59.69,1.5729e-02,1.9311e-05,1.2277e-03,1.2168
26120,26121.00,59.73,1.5723e-02,1.9308e-05,1.2280e-03,1.2166
26140,26141.00,59.78,1.5718e-02,1.9245e-05,1.2244e-03,1.2163
26160,26161.00,59.83,1.5728e-02,1.9227e-05,1.2224e-03,1.2160
26180,26181.00,59.87,1.5708e-02,1.9284e-05,1.2277e-03,1.2158
26200,26201.00,59.92,1.5700e-02,1.9359e-05,1.2331e-03,1.2155
26220,26221.00,59.96,1.5692e-02,1.9414e-05,1.2372e-03,1.2152
26240,26241.00,60.01,1.5681e-02,1.9550e-05,1.2468e-03,1.2149
26260,26261.00,60.06,1.5683e-02,1.9483e-05,1.2423e-03,1.2146
26280,26281.00,60.10,1.5675e-02,1.9322e-05,1.2327e-03,1.2143
26300,26301.00,60.15,1.5666e-02,1.9124e-05,1.2208e-03,1.2140
26320,26321.00,60.19,1.5676e-02,1.8883e-05,1.2046e-03,1.2137
26340,26341.00,60.24,1.5689e-02,1.8790e-05,1.1977e-03,1.2134
26360,26361.00,60.29,1.5694e-02,1.8807e-05,1.1983e-03,1.2131
26380,26381.00,60.33,1.5689e-02,1.8825e-05,1.1998e-03,1.2128
26400,26401.00,60.38,1.5684e-02,1.8860e-05,1.2025e-03,1.2125
26420,26421.00,60.42,1.5676e-02,1.8898e-05,1.2055e-03,1.2122
26440,26441.00,60.47,1.5665e-02,1.8885e-05,1.2056e-03,1.2119
26460,26461.00,60.52,1.5670e-02,1.8801e-05,1.1998e-03,1.2116
26480,26481.00,60.56,1.5658e-02,1.8631e-05,1.1898e-03,1.2113
26500,26501.00,60.61,1.5658e-02,1.8647e-05,1.1909e-03,1.2110
26520,26521.00,60.65,1.5639e-02,1.8857e-05,1.2057e-03,1.2107
26540,26541.00,60.70,1.5647e-02,1.9127e-05,1.2224e-03,1.2104
26560,26561.00,60.75,1.5642e-02,1.9660e-05,1.2569e-03,1.2101
26580,26581.00,60.79,1.5652e-02,2.0931e-05,1.3373e-03,1.2098
26600,26601.00,60.84,1.5651e-02,2.1050e-05,1.3450e-03,1.2095
26620,26621.00,60.88,1.5658e-02,1.9965e-05,1.2750e-03,1.2092
26640,26641.00,60.93,1.5656e-02,1.9088e-05,1.2192e-03,1.2089
26660,26661.00,60.98,1.5650e-02,1.8542e-05,1.1848e-03,1.2086
26680,26681.00,61.02,1.5650e-02,1.8315e-05,1.1703e-03,1.2083
26700,26701.00,61.07,1.5647e-02,1.8195e-05,1.1628e-03,1.2080
26720,26721.00,61.11,1.5639e-02,1.8024e-05,1.1526e-03,1.2077
26740,26741.00,61.16,1.5630e-02,1.8033e-05,1.1538e-03,1.2074
26760,26761.00,61.21,1.5616e-02,1.8180e-05,1.1642e-03,1.2071
26780,26781.00,61.25,1.5616e-02,1.8418e-05,1.1794e-03,1.2068
26800,26801.00,61.30,1.5634e-02,1.8615e-05,1.1907e-03,1.2065
26820,26821.00,61.34,1.5632e-02,1.8823e-05,1.2042e-03,1.2062
26840,26841.00,61.39,1.5642e-02,1.9013e-05,1.2155e-03,1.2058
26860,26861.00,61.44,1.5636e-02,1.9223e-05,1.2294e-03,1.2055
26880,26881.00,61.48,1.5631e-02,1.9395e-05,1.2407e-03,1.2052
26900,26901.00,61.53,1.5625e-02,1.9504e-05,1.2482e-03,1.2049
26920,26921.00,61.57,1.5625e-02,1.9645e-05,1.2573e-03,1.2046
26940,26941.00,61.62,1.5616e-02,1.9793e-05,1.2675e-03,1.2042
26960,26961.00,61.67,1.5607e-02,1.9934e-05,1.2772e-03,1.2039
26980,26981.00,61.71,1.5608e-02,1.9999e-05,1.2813e-03,1.2036
27000,27001.00,61.76,1.5609e-02,1.9958e-05,1.2787e-03,1.2032
27020,27021.00,61.80,1.5601e-02,1.9744e-05,1.2655e-03,1.2029
27040,27041.00,61.85,1.5584e-02,1.9498e-05,1.2511e-03,1.2025
27060,27061.00,61.90,1.5593e-02,1.9290e-05,1.2371e-03,1.2022
27080,27081.00,61.94,1.5592e-02,1.9253e-05,1.2348e-03,1.2019
27100,27101.00,61.99,1.5580e-02,1.9292e-05,1.2383e-03,1.2015
27120,27121.00,62.03,1.5600e-02,1.9335e-05,1.2394e-03,1.2012
27140,27141.00,62.08,1.5597e-02,1.9410e-05,1.2445e-03,1.2008
27160,27161.00,62.13,1.5595e-02,1.9502e-05,1.2505e-03,1.2005
27180,27181.00,62.17,1.5587e-02,1.9610e-05,1.2581e-03,1.2001
27200,27201.00,62.22,1.5585e-02,1.9693e-05,1.2635e-03,1.1998
27220,27221.00,62.26,1.5564e-02,1.9715e-05,1.2667e-03,1.1994
27240,27241.00,62.31,1.5550e-02,1.9795e-05,1.2730e-03,1.1991
27260,27261.00,62.36,1.5555e-02,1.9849e-05,1.2760e-03,1.1987
27280,27281.00,62.40,1.5543e-02,1.9944e-05,1.2832e-03,1.1984
27300,27301.00,62.45,1.5544e-02,1.9969e-05,1.2846e-03,1.1981
27320,27321.00,62.49,1.5540e-02,2.0080e-05,1.2921e-03,1.1978
27340,27341.00,62.54,1.5553e-02,2.0161e-05,1.2962e-03,1.1974
27360,27361.00,62.59,1.5551e-02,2.0228e-05,1.3007e-03,1.1971
27380,27381.00,62.63,1.5549e-02,2.0264e-05,1.3032e-03,1.1967
27400,27401.00,62.68,1.5564e-02,2.0257e-05,1.3016e-03,1.1964
27420,27421.00,62.72,1.5546e-02,2.0114e-05,1.2939e-03,1.1961
27440,27441.00,62.77,1.5528e-02,1.9980e-05,1.2867e-03,1.1957
27460,27461.00,62.82,1.5523e-02,1.9910e-05,1.2827e-03,1.1953
27480,27481.00,62.86,1.5506e-02,1.9863e-05,1.2810e-03,1.1950
27500,27501.00,62.91,1.5503e-02,1.9876e-05,1.2821e-03,1.1946
27520,27521.00,62.95,1.5496e-02,1.9846e-05,1.2808e-03,1.1942
27540,27541.00,63.00,1.5489e-02,1.9717e-05,1.2729e-03,1.1939
27560,27561.00,63.05,1.5474e-02,1.9671e-05,1.2712e-03,1.1935
27580,27581.00,63.09,1.5487e-02,1.9634e-05,1.2677e-03,1.1930
27600,27601.00,63.14,1.5485e-02,2.0221e-05,1.3059e-03,1.1926
27620,27621.00,63.18,1.5474e-02,2.1097e-05,1.3634e-03,1.1923
27640,27641.00,63.23,1.5453e-02,2.0612e-05,1.3339e-03,1.1920
27660,27661.00,63.28,1.5441e-02,2.0122e-05,1.3031e-03,1.1916
